line	Date	date	Time	lat	long	alt	temp
5	5/16/2009	2009-05-16	12:32:22	45.6422048	-87.2406972	146.7	17
6	5/16/2009	2009-05-16	16:02:05	45.6421593	-87.2393251	146.04	20
7	5/17/2009	2009-05-17	0:01:23	45.6421833	-87.2395295	146.24	10
8	5/17/2009	2009-05-17	8:02:21	45.6413989	-87.2386685	144.77	6
9	5/17/2009	2009-05-17	16:01:17	45.6409876	-87.237273	167.1	31
10	5/18/2009	2009-05-18	0:02:41	45.6407428	-87.2373988	162.94	25
11	5/18/2009	2009-05-18	8:01:46	45.6408851	-87.2372957	178.24	26
12	5/18/2009	2009-05-18	16:01:41	45.6397696	-87.2379882	168.01	29
13	5/19/2009	2009-05-19	0:00:47	45.6393674	-87.238413	154.38	31
14	5/19/2009	2009-05-19	8:00:56	45.6392634	-87.2383289	155.89	29
15	5/19/2009	2009-05-19	16:01:24	45.6387034	-87.2396659	155.22	28
16	5/20/2009	2009-05-20	0:00:55	45.6408003	-87.2457222	174.87	17
17	5/20/2009	2009-05-20	8:00:56	45.6407693	-87.2457057	162.85	16
18	5/20/2009	2009-05-20	16:01:49	45.6408162	-87.2467589	198.32	31
19	5/21/2009	2009-05-21	0:00:43	45.6417085	-87.2554557	158.68	21
20	5/21/2009	2009-05-21	8:00:48	45.6434525	-87.2576071	163.55	27
21	5/21/2009	2009-05-21	16:00:49	45.6510412	-87.2579619	178.03	18
22	5/22/2009	2009-05-22	0:00:43	45.6481758	-87.2608182	163.53	12
23	5/22/2009	2009-05-22	0:15:15	45.6488987	-87.2649953	163.29	11
24	5/22/2009	2009-05-22	0:30:15	45.64743	-87.264555	167.65	10
25	5/22/2009	2009-05-22	0:46:17	45.6472136	-87.2650065	147.81	10
26	5/22/2009	2009-05-22	1:01:01	45.6462774	-87.2647467	154.45	10
27	5/22/2009	2009-05-22	1:16:23	45.6455775	-87.2625961	150.79	11
28	5/22/2009	2009-05-22	1:31:45	45.6455299	-87.2624273	260.85	13
29	5/22/2009	2009-05-22	1:46:05	45.6454253	-87.2622606	189.7	15
30	5/22/2009	2009-05-22	2:02:07	45.6452886	-87.2621252	187.78	16
31	5/22/2009	2009-05-22	2:16:14	45.6453189	-87.2623717	197.07	16
32	5/22/2009	2009-05-22	2:30:36	45.6453582	-87.2623223	176.02	15
33	5/22/2009	2009-05-22	2:46:23	45.6453708	-87.2622087	152.28	19
34	5/22/2009	2009-05-22	3:01:31	45.6453329	-87.2623369	177.37	24
35	5/22/2009	2009-05-22	3:15:34	45.6453128	-87.2622716	172.56	24
36	5/22/2009	2009-05-22	3:30:29	45.645314	-87.2623516	179.43	24
37	5/22/2009	2009-05-22	3:46:33	45.6455277	-87.262551	189.77	21
38	5/22/2009	2009-05-22	4:00:34	45.6448532	-87.2619471	172.16	18
39	5/22/2009	2009-05-22	4:16:24	45.6443157	-87.2572878	176.03	13
40	5/22/2009	2009-05-22	4:30:49	45.6442451	-87.2574787	164.12	14
41	5/22/2009	2009-05-22	4:45:39	45.6443126	-87.2573725	163.77	15
42	5/22/2009	2009-05-22	5:00:23	45.6442465	-87.2573732	187.75	16
43	5/22/2009	2009-05-22	5:15:23	45.6442351	-87.2573109	161.01	16
44	5/22/2009	2009-05-22	5:30:21	45.6442097	-87.2572835	153.98	16
45	5/22/2009	2009-05-22	5:45:15	45.6441905	-87.2573134	161.66	15
46	5/22/2009	2009-05-22	6:00:19	45.644241	-87.2573268	168.76	16
47	5/22/2009	2009-05-22	6:15:31	45.644266	-87.2572706	160.45	16
48	5/22/2009	2009-05-22	6:30:35	45.6441503	-87.2572963	177.22	14
49	5/22/2009	2009-05-22	6:46:02	45.6443667	-87.2573981	139.71	14
50	5/22/2009	2009-05-22	7:00:47	45.6443753	-87.2572175	138.78	14
51	5/22/2009	2009-05-22	7:15:25	45.6443833	-87.2572663	133.71	13
52	5/22/2009	2009-05-22	7:30:36	45.6441898	-87.2573164	168.73	12
53	5/22/2009	2009-05-22	7:45:41	45.6443925	-87.25758	177.47	12
54	5/22/2009	2009-05-22	8:00:12	45.6436864	-87.2567351	163.3	13
55	5/22/2009	2009-05-22	8:15:07	45.6437066	-87.256729	151.31	18
56	5/22/2009	2009-05-22	8:30:29	45.6437251	-87.2567449	160.49	21
57	5/22/2009	2009-05-22	8:45:16	45.643686	-87.2567229	164.74	26
58	5/22/2009	2009-05-22	9:00:18	45.6437405	-87.2567894	146.24	28
59	5/22/2009	2009-05-22	9:15:15	45.6437641	-87.2567821	161.85	29
60	5/22/2009	2009-05-22	9:30:49	45.6437688	-87.25669	157.15	31
61	5/22/2009	2009-05-22	9:45:30	45.6429648	-87.2531907	170.39	24
62	5/22/2009	2009-05-22	10:00:11	45.6426948	-87.2533024	160.58	22
63	5/22/2009	2009-05-22	10:15:24	45.6423478	-87.2534636	167.53	22
64	5/22/2009	2009-05-22	10:30:11	45.6422309	-87.2533947	173.23	24
65	5/22/2009	2009-05-22	10:45:16	45.6422423	-87.2533435	174.79	25
66	5/22/2009	2009-05-22	11:00:12	45.6419026	-87.2535565	183.74	28
67	5/22/2009	2009-05-22	11:15:25	45.6400363	-87.2528812	162.8	24
68	5/22/2009	2009-05-22	11:30:41	45.6393858	-87.2520267	162.17	21
69	5/22/2009	2009-05-22	11:45:27	45.6386103	-87.2511826	141.56	22
70	5/22/2009	2009-05-22	12:00:48	45.6382219	-87.2508065	178.18	24
71	5/22/2009	2009-05-22	12:15:47	45.638223	-87.2508584	179.46	25
72	5/22/2009	2009-05-22	12:30:59	45.6382866	-87.2507985	166.96	28
73	5/22/2009	2009-05-22	12:45:53	45.6382476	-87.25079	172.6	26
74	5/22/2009	2009-05-22	13:00:35	45.6360982	-87.2480122	186.63	23
75	5/22/2009	2009-05-22	13:15:29	45.6363225	-87.2474679	170.64	21
76	5/22/2009	2009-05-22	13:31:01	45.636193	-87.2473569	166.54	21
77	5/22/2009	2009-05-22	13:45:28	45.6359689	-87.2457273	232.86	23
78	5/22/2009	2009-05-22	14:01:18	45.6349829	-87.2420687	181.98	22
79	5/22/2009	2009-05-22	14:15:24	45.6348642	-87.240701	152.93	22
80	5/22/2009	2009-05-22	14:30:47	45.6345767	-87.2398257	145.01	24
81	5/22/2009	2009-05-22	14:45:19	45.6331006	-87.2379838	141.82	22
82	5/22/2009	2009-05-22	15:00:19	45.6326226	-87.2371881	147.62	22
83	5/22/2009	2009-05-22	15:15:24	45.6324395	-87.2370351	159.14	23
84	5/22/2009	2009-05-22	15:30:26	45.6316909	-87.2381873	155.21	23
85	5/22/2009	2009-05-22	15:45:41	45.6296504	-87.2390662	144.84	21
86	5/22/2009	2009-05-22	16:00:34	45.6296582	-87.2389743	170.57	22
87	5/22/2009	2009-05-22	16:15:48	45.6292403	-87.2395551	160.05	22
88	5/22/2009	2009-05-22	16:30:19	45.6292341	-87.2395545	157.92	25
89	5/22/2009	2009-05-22	16:45:20	45.6292409	-87.2395667	157.19	28
90	5/22/2009	2009-05-22	17:00:41	45.6292143	-87.2395308	160.09	29
91	5/22/2009	2009-05-22	17:15:15	45.6292483	-87.2395899	152.19	30
92	5/22/2009	2009-05-22	17:30:14	45.6292909	-87.2395539	162.94	30
93	5/22/2009	2009-05-22	17:45:05	45.6292013	-87.2397741	157.3	28
94	5/22/2009	2009-05-22	18:00:42	45.6292074	-87.2397607	156.64	28
95	5/22/2009	2009-05-22	18:15:14	45.6292021	-87.2397985	154.41	27
96	5/22/2009	2009-05-22	18:30:11	45.6291705	-87.2398138	156.45	26
97	5/22/2009	2009-05-22	18:45:13	45.628835	-87.2401928	163.55	24
98	5/22/2009	2009-05-22	19:00:23	45.6288326	-87.2401184	169.4	21
99	5/22/2009	2009-05-22	19:15:16	45.6288665	-87.2401641	160.12	21
100	5/22/2009	2009-05-22	19:31:05	45.6284142	-87.2404175	160.34	19
101	5/22/2009	2009-05-22	19:45:48	45.6281734	-87.2409226	143.16	18
102	5/22/2009	2009-05-22	20:00:10	45.6281682	-87.2409176	131.14	19
103	5/22/2009	2009-05-22	20:15:16	45.6281799	-87.240936	145.25	19
104	5/22/2009	2009-05-22	20:30:10	45.6277683	-87.2407496	142.44	18
105	5/22/2009	2009-05-22	20:45:17	45.6274006	-87.2389584	144.66	16
106	5/22/2009	2009-05-22	21:00:09	45.625011	-87.2398943	137.3	14
107	5/22/2009	2009-05-22	21:15:15	45.6230387	-87.2410335	143.33	13
108	5/22/2009	2009-05-22	21:30:12	45.6229374	-87.2411074	154.34	14
109	5/22/2009	2009-05-22	21:45:14	45.6227544	-87.2411527	149.06	14
110	5/22/2009	2009-05-22	22:01:42	45.6224035	-87.2419995	167.63	14
111	5/22/2009	2009-05-22	22:15:08	45.6206741	-87.2436605	161.25	11
112	5/22/2009	2009-05-22	22:30:28	45.6201041	-87.2445731	158.89	13
113	5/22/2009	2009-05-22	22:45:23	45.6201383	-87.2446316	149.57	15
114	5/22/2009	2009-05-22	23:00:23	45.6200628	-87.2446743	150.79	15
115	5/22/2009	2009-05-22	23:15:14	45.6191186	-87.244834	145.75	13
116	5/22/2009	2009-05-22	23:30:53	45.6164076	-87.2447361	176.19	11
117	5/22/2009	2009-05-22	23:45:23	45.6163659	-87.2446117	180.72	12
118	5/23/2009	2009-05-23	0:00:42	45.6152135	-87.2432549	177.36	12
119	5/23/2009	2009-05-23	0:15:21	45.615402	-87.2435248	140.06	11
120	5/23/2009	2009-05-23	0:30:16	45.6151346	-87.2414229	146.76	11
121	5/23/2009	2009-05-23	0:45:17	45.6141817	-87.2420913	159.47	12
122	5/23/2009	2009-05-23	1:00:42	45.6124534	-87.2432636	151.59	11
123	5/23/2009	2009-05-23	1:15:22	45.6115201	-87.246044	153.77	11
124	5/23/2009	2009-05-23	1:30:33	45.6113006	-87.2472624	156.66	12
125	5/23/2009	2009-05-23	1:45:54	45.6111797	-87.2472405	151.63	19
126	5/23/2009	2009-05-23	2:00:21	45.6111609	-87.2472686	155.08	23
127	5/23/2009	2009-05-23	2:15:24	45.6110896	-87.2471784	146.04	26
128	5/23/2009	2009-05-23	2:30:39	45.6112925	-87.2472283	165.94	28
